GAME	DATE	SCORE	PTS	REB	AST	MIN	2M-2A	3M-3A	FG%	1M-1A	1%	OR	DR	REB	AST	STL	TO	BLK	PTS	EFF
	12-Mar-23	W 112-93	34	8	4	31	18-Dec	0-3	57.10%	12-Oct	83.30%	3	5	8	4	1	1	4	34	39
vs Washington Wizards																				
	16-Mar-23	W 109-118	36	18	3	38	14-Oct	5-Feb	63.20%	10-Oct	100.00%	3	15	18	3	0	6	4	36	48
@ Cleveland Cavaliers																				
	18-Mar-23	W 82-121	38	13	5	29	16-21	0-0	76.20%	7-Jun	85.70%	1	12	13	5	0	3	4	38	51
@ Charlotte Hornets																				
	19-Mar-23	W 121-141	31	7	7	30	12-Sep	3-Jan	66.70%	13-Oct	76.90%	2	5	7	7	0	1	2	31	38
@ Indiana Pacers																				
	21-Mar-23	L 105-109	37	16	1	44	20-Nov	0-2	50.00%	15-17	88.20%	3	13	16	1	1	5	3	37	40
vs Chicago Bulls																				
	23-Mar-23	W 91-116	12	7	7	16	5-May	0-2	71.40%	2-Feb	100.00%	0	7	7	7	1	4	1	12	22
@ Chicago Bulls																				
	25-Mar-23	L 120-112	46	9	8	38	18-Dec	5-Jan	56.50%	19-22	86.40%	1	8	9	8	2	3	1	46	50
@ Golden State Warriors																				
	26-Mar-23	L 125-105	28	10	4	32	15-Jul	4-Jan	42.10%	13-Nov	84.60%	2	8	10	4	0	3	2	28	28
@ Phoenix Suns																				
	30-Mar-23	W 116-108	25	9	3	33	14-Jul	3-Jan	47.10%	9-Aug	88.90%	1	8	9	3	1	4	1	25	25
vs Dallas Mavericks																				
	1-Apr-23	W 117-110	25	12	1	34	11-Jul	0-2	53.80%	12-Nov	91.70%	1	11	12	1	0	5	1	25	27
vs Toronto Raptors																				
	3-Apr-23	L 117-104	28	9	5	32	18-Oct	7-Jan	44.00%	5-May	100.00%	1	8	9	5	0	1	0	28	27
@ Milwaukee Bucks																				
	5-Apr-23	W 103-101	52	13	6	39	20-24	0-1	80.00%	13-Dec	92.30%	2	11	13	6	0	3	2	52	64
vs Boston Celtics																				
	7-Apr-23	L 101-129	21	6	2	30	11-Aug	2-Jan	69.20%	4-Feb	50.00%	0	6	6	2	0	2	2	21	23
vs Miami Heat																				
