GAME	DATE	SCORE	PTS	REB	AST	MIN	2M-2A	3M-3A	FG%	1M-1A	1%	OR	DR	REB	AST	STL	TO	BLK	PTS	EFF
	12-Mar-23	L 120-122	35	20	11	39	14-22	0-1	60.90%	10-Jul	70.00%	6	14	20	11	2	3	2	35	55
vs Brooklyn Nets																				
	15-Mar-23	L 125-110	28	8	7	35	12-Oct	0-1	76.90%	8-Aug	100.00%	2	6	8	7	1	4	0	28	37
@ Toronto Raptors																				
	17-Mar-23	W 100-119	30	10	9	34	14-17	0-1	77.80%	3-Feb	66.70%	4	6	10	9	1	1	1	30	45
@ Detroit Pistons																				
	18-Mar-23	L 116-110	24	10	8	37	13-Oct	5-Jan	61.10%	1-Jan	100.00%	2	8	10	8	0	6	1	24	30
@ New York Knicks																				
	19-Mar-23	W 102-108	22	17	10	36	12-Sep	0-0	75.00%	4-Apr	100.00%	4	13	17	10	2	1	0	22	47
@ Brooklyn Nets																				
	23-Mar-23	W 104-118	31	12	7	34	13-Oct	3-Feb	75.00%	5-May	100.00%	5	7	12	7	3	2	0	31	47
@ Washington Wizards																				
	26-Mar-23	W 129-106	31	6	11	32	14-Sep	6-Jan	50.00%	11-Oct	90.90%	1	5	6	11	1	3	0	31	35
vs Milwaukee Bucks																				
	28-Mar-23	W 116-111	25	17	12	35	11-Aug	0-0	72.70%	11-Sep	81.80%	3	14	17	12	0	3	2	25	48
vs Philadelphia 76ers																				
	5-Apr-23	L 124-103	14	10	4	25	11-Jul	0-2	53.80%	0-1	0.00%	2	8	10	4	2	8	3	14	18
@ Houston Rockets																				
	8-Apr-23	L 118-114	6	10	10	27	4-Feb	0-1	40.00%	2-Feb	100.00%	0	10	10	10	2	4	0	6	21
@ Utah Jazz																				
